Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Series Id:,CUURS49BSEFV,,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,,
Series Title:,"Food away from home in San Francisco-Oakland-Hayward, CA, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,,
Area:,"San Francisco-Oakland-Hayward, CA",,,,,,,,,,,,,,
Item:,Food away from home,,,,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,,,,
Years:,2015 to 2025,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
2015,,266.605,,269.553,,272.482,,275.110,,275.402,,279.265,271.825,268.187,275.462
2016,,279.472,,281.228,,283.786,,286.275,,287.099,,287.887,283.573,280.742,286.404
2017,,289.007,,290.329,,291.227,,294.114,,293.219,,293.807,291.442,289.539,293.345
2018,,298.714,,301.409,,302.712,,310.797,,312.003,,314.197,305.141,299.642,310.640
2019,,318.676,,324.339,,325.183,,329.247,,331.348,,329.746,325.428,321.136,329.720
2020,,338.700,,330.932,,338.892,,341.262,,343.914,,347.655,338.850,334.883,342.817
2021,,349.922,,350.276,,353.169,,356.519,,357.869,,360.146,353.739,350.203,357.275
2022,,370.023,,371.272,,378.329,,381.888,,390.174,,394.357,378.156,370.178,386.135
2023,,398.992,,400.510,,403.309,,406.376,,409.744,,410.907,403.621,399.499,407.744
2024,,413.574,,418.167,,424.458,,425.466,,430.543,,431.518,422.378,416.658,428.098
2025,,432.394,,433.564,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Annual,,,,,,,,,,,,,,
2015,272,,,,,,,,,,,,,,
2016,284,,,,,,,,,,,,,,
2017,291,,,,,,,,,,,,,,
2018,305,,,,,,,,,,,,,,
2019,325,,,,,,,,,,,,,,
2020,339,,,,,,,,,,,,,,
2021,354,,,,,,,,,,,,,,
2022,378,,,,,,,,,,,,,,
2023,404,,,,,,,,,,,,,,
2024,422,,,,,,,,,,,,,,
2025,,,,,,,,,,,,,,,